iter	Passed	Remaining
189	416	1774
190	418	1773
191	420	1770
192	422	1768
193	424	1764
194	426	1761
195	428	1758
196	431	1759
197	434	1760
198	436	1756
199	438	1754
200	440	1750
201	442	1748
202	444	1746
203	447	1745
204	449	1743
205	452	1743
206	454	1740
207	456	1737
208	461	1745
209	464	1748
210	467	1747
211	469	1745
212	472	1744
213	474	1742
214	476	1741
215	480	1744
216	483	1744
217	485	1743
218	488	1742
219	491	1741
220	494	1741
221	496	1741
222	499	1739
223	501	1737
224	503	1735
225	506	1734
226	509	1734
227	512	1734
228	514	1731
229	516	1727
230	517	1724
231	520	1722
232	522	1719
233	524	1717
234	527	1716
235	529	1713
236	531	1711
237	534	1710
238	536	1709
239	539	1707
240	542	1708
241	544	1706
242	546	1702
243	548	1700
244	550	1697
245	552	1693
246	555	1692
247	558	1692
248	560	1689
249	562	1686
250	563	1682
251	566	1680
252	568	1677
253	570	1675
254	573	1675
255	575	1672
256	577	1669
257	579	1667
258	581	1664
259	583	1661
260	586	1659
261	588	1658
262	591	1657
263	593	1654
264	595	1651
265	597	1648
266	599	1645
267	601	1641
268	603	1640
269	606	1638
270	607	1634
271	609	1631
272	611	1629
273	613	1625
274	615	1622
275	617	1620
276	620	1620
277	622	1617
278	624	1614
279	626	1611
280	628	1608
281	630	1605
282	632	1602
283	635	1601
284	637	1600
285	639	1596
286	641	1593
287	643	1590
288	645	1587
289	647	1586
290	650	1584
291	653	1583
292	655	1581
293	657	1578
294	659	1575
295	661	1572
296	663	1570
297	665	1568
298	668	1567
299	670	1564
300	672	1561
301	674	1558
302	676	1555
303	678	1552
304	679	1549
305	682	1548
306	684	1546
307	687	1543
308	689	1541
309	691	1538
310	692	1534
311	694	1532
312	696	1529
313	699	1527
314	701	1525
315	703	1522
316	705	1519
317	706	1516
318	708	1513
319	710	1510
320	712	1507
321	715	1506
322	717	1503
323	719	1501
324	721	1498
325	723	1495
326	725	1492
327	727	1489
328	729	1488
329	731	1485
330	733	1482
331	735	1479
332	736	1476
333	738	1472
334	740	1470
335	742	1466
336	744	1464
337	747	1463
338	749	1461
339	751	1458
340	753	1456
341	755	1452
342	757	1450
343	759	1447
344	761	1445
345	763	1443
346	766	1441
347	768	1439
348	770	1437
349	772	1434
350	774	1431
351	776	1429
352	779	1428
353	781	1425
354	783	1423
355	785	1420
356	787	1418
357	789	1415
358	791	1413
359	794	1411
360	796	1409
361	798	1407
362	800	1405
363	802	1402
364	804	1400
365	806	1397
366	809	1396
367	812	1395
368	814	1392
369	816	1390
370	818	1387
371	820	1384
372	822	1382
373	825	1380
374	827	1378
375	829	1376
376	831	1374
377	833	1371
378	835	1369
379	837	1366
380	839	1364
381	842	1363
382	844	1360
383	846	1357
384	848	1355
385	850	1353
386	852	1350
387	854	1348
388	857	1347
389	859	1344
390	861	1342
391	864	1340
392	866	1337
393	867	1335
394	870	1333
395	873	1332
396	875	1330
397	877	1327
398	880	1325
399	881	1322
400	883	1320
401	886	1317
402	888	1316
403	890	1314
404	893	1312
405	895	1309
406	897	1307
407	899	1304
408	901	1301
409	903	1300
410	905	1298
411	908	1296
412	910	1293
413	912	1291
414	914	1288
415	916	1286
416	918	1284
417	921	1282
418	923	1280
419	925	1278
420	927	1275
421	929	1273
422	931	1270
423	933	1267
424	935	1265
425	938	1263
426	940	1261
427	941	1258
428	944	1256
429	946	1254
430	947	1251
431	950	1249
432	953	1248
433	955	1245
434	957	1243
435	959	1240
436	961	1238
437	962	1235
438	964	1233
439	968	1232
440	970	1229
441	972	1227
442	974	1224
443	976	1222
444	978	1219
445	979	1217
446	981	1214
447	984	1213
448	986	1210
449	988	1208
450	990	1206
451	992	1203
452	994	1200
453	996	1198
454	999	1197
455	1001	1195
456	1003	1192
457	1005	1190
458	1007	1187
459	1009	1185
460	1011	1182
461	1014	1180
462	1016	1179
463	1018	1176
464	1020	1174
465	1022	1171
466	1024	1169
467	1026	1166
468	1028	1164
469	1031	1162
470	1033	1160
471	1035	1157
472	1037	1155
473	1039	1153
474	1040	1150
475	1042	1147
476	1045	1146
477	1047	1144
478	1049	1142
479	1051	1139
480	1053	1136
481	1055	1134
482	1057	1131
483	1059	1129
484	1061	1127
485	1063	1125
486	1065	1122
487	1068	1120
488	1069	1118
489	1071	1115
490	1073	1112
491	1075	1110
492	1078	1109
493	1080	1106
494	1082	1104
495	1084	1102
496	1086	1099
497	1088	1097
498	1090	1094
499	1092	1092
500	1095	1090
501	1097	1088
502	1099	1086
503	1101	1084
504	1103	1081
505	1105	1079
506	1107	1076
507	1110	1075
508	1112	1073
509	1114	1070
510	1116	1068
511	1118	1066
512	1120	1063
513	1122	1061
514	1124	1059
515	1127	1057
516	1129	1055
517	1131	1052
518	1133	1050
519	1135	1047
520	1137	1045
521	1139	1043
522	1141	1041
523	1143	1038
524	1145	1036
525	1147	1034
526	1149	1031
527	1151	1029
528	1153	1026
529	1155	1024
530	1157	1022
531	1159	1020
532	1162	1018
533	1164	1015
534	1166	1013
535	1167	1010
536	1169	1008
537	1172	1006
538	1174	1004
539	1176	1002
540	1178	1000
541	1180	997
542	1182	995
543	1184	993
544	1187	991
545	1190	989
546	1192	987
547	1194	985
548	1196	982
549	1198	980
550	1200	978
551	1202	975
552	1205	974
553	1207	971
554	1209	969
555	1211	967
556	1212	964
557	1214	962
558	1216	959
559	1219	958
560	1221	956
561	1223	953
562	1225	951
563	1227	949
564	1229	946
565	1231	944
566	1233	942
567	1236	940
568	1238	938
569	1240	936
570	1242	933
571	1244	931
572	1246	928
573	1248	926
574	1251	924
575	1253	922
576	1255	920
577	1257	918
578	1259	915
579	1261	913
580	1263	910
581	1264	908
582	1267	906
583	1269	904
584	1271	902
585	1273	899
586	1275	897
587	1277	895
588	1279	892
589	1281	890
590	1284	888
591	1286	886
592	1288	884
593	1290	882
594	1292	879
595	1294	877
596	1296	875
597	1299	873
598	1301	871
599	1303	869
600	1305	866
601	1307	864
602	1309	862
603	1312	860
604	1314	858
605	1317	856
606	1319	854
607	1321	851
608	1322	849
609	1325	847
610	1327	844
611	1329	842
612	1331	840
613	1333	838
614	1335	836
615	1338	834
616	1340	831
617	1341	829
618	1343	827
619	1347	825
620	1349	823
621	1351	821
622	1352	818
623	1354	816
624	1356	813
625	1358	811
626	1360	809
627	1363	807
628	1365	805
629	1367	802
630	1368	800
631	1370	798
632	1372	795
633	1374	793
634	1376	791
635	1378	789
636	1380	786
637	1382	784
638	1384	782
639	1386	780
640	1388	777
641	1391	775
642	1393	773
643	1395	771
644	1397	769
645	1399	766
646	1400	764
647	1402	761
648	1404	759
649	1406	757
650	1408	755
651	1410	753
652	1412	750
653	1414	748
654	1416	745
655	1417	743
656	1419	741
657	1421	738
658	1424	736
659	1426	734
660	1427	732
661	1429	730
662	1431	727
663	1433	725
664	1435	723
665	1437	720
666	1439	718
667	1441	716
668	1443	714
669	1445	711
670	1446	709
671	1448	707
672	1450	704
673	1452	702
674	1454	700
675	1456	698
676	1458	696
677	1460	693
678	1462	691
679	1464	689
680	1466	686
681	1467	684
682	1469	682
683	1472	680
684	1473	677
685	1475	675
686	1477	673
687	1479	670
688	1481	668
689	1483	666
690	1485	664
691	1487	661
692	1489	659
693	1491	657
694	1493	655
695	1495	653
696	1496	650
697	1498	648
698	1500	646
699	1502	644
700	1505	642
701	1507	639
702	1509	637
703	1511	635
704	1512	633
705	1514	630
706	1516	628
707	1519	626
708	1522	624
709	1524	622
710	1525	620
711	1527	617
712	1529	615
713	1531	613
714	1533	611
715	1536	609
716	1538	607
717	1539	604
718	1541	602
719	1543	600
720	1545	598
721	1547	595
722	1549	593
723	1551	591
724	1553	589
725	1555	587
726	1557	584
727	1558	582
728	1561	580
729	1562	578
730	1564	575
731	1567	573
732	1569	571
733	1571	569
734	1572	567
735	1574	564
736	1576	562
737	1578	560
738	1581	558
739	1583	556
740	1585	554
741	1587	551
742	1588	549
743	1590	547
744	1592	545
745	1594	542
746	1596	540
747	1599	538
748	1601	536
749	1603	534
750	1605	532
751	1607	530
752	1609	527
753	1611	525
754	1612	523
755	1615	521
756	1617	519
757	1618	516
758	1620	514
759	1622	512
760	1624	510
761	1626	507
762	1627	505
763	1630	503
764	1632	501
765	1634	499
766	1635	496
767	1637	494
768	1639	492
769	1641	490
770	1643	488
771	1645	486
772	1648	483
773	1650	481
774	1652	479
775	1654	477
776	1655	475
777	1657	473
778	1659	470
779	1662	468
780	1664	466
781	1666	464
782	1668	462
783	1670	460
784	1672	458
785	1674	455
786	1676	453
787	1679	451
788	1681	449
789	1683	447
790	1685	445
791	1686	443
792	1688	440
793	1690	438
794	1692	436
795	1695	434
796	1697	432
797	1699	430
798	1701	428
799	1703	425
800	1704	423
801	1706	421
802	1709	419
803	1711	417
804	1713	415
805	1715	412
806	1717	410
807	1719	408
808	1721	406
809	1723	404
810	1725	402
811	1727	400
812	1729	397
813	1731	395
814	1733	393
815	1735	391
816	1737	389
817	1738	386
818	1741	384
819	1743	382
820	1745	380
821	1746	378
822	1748	376
823	1750	373
824	1752	371
825	1754	369
826	1756	367
827	1758	365
828	1760	363
829	1762	360
830	1764	358
831	1766	356
832	1767	354
833	1769	352
834	1772	350
835	1774	348
836	1775	345
837	1777	343
838	1779	341
839	1781	339
840	1783	337
841	1784	334
842	1787	332
843	1789	330
844	1791	328
845	1793	326
846	1795	324
847	1797	322
848	1798	319
849	1800	317
850	1802	315
851	1805	313
852	1806	311
853	1808	309
854	1810	307
855	1812	304
856	1814	302
857	1815	300
858	1817	298
859	1819	296
860	1821	294
861	1823	291
862	1825	289
863	1827	287
864	1829	285
865	1830	283
866	1832	281
867	1834	279
868	1837	276
869	1839	274
870	1841	272
871	1843	270
872	1845	268
873	1847	266
874	1849	264
875	1851	262
876	1853	259
877	1855	257
878	1857	255
879	1859	253
880	1860	251
881	1862	249
882	1864	247
883	1866	244
884	1868	242
885	1870	240
886	1872	238
887	1874	236
888	1875	234
889	1877	232
890	1879	229
891	1881	227
892	1884	225
893	1886	223
894	1888	221
895	1890	219
896	1892	217
897	1894	215
898	1896	213
899	1898	210
900	1900	208
901	1902	206
902	1904	204
903	1906	202
904	1908	200
905	1910	198
906	1912	196
907	1914	194
908	1916	191
909	1918	189
910	1920	187
911	1922	185
912	1924	183
913	1926	181
914	1928	179
915	1931	177
916	1933	175
917	1935	172
918	1937	170
919	1939	168
920	1940	166
921	1942	164
922	1944	162
923	1947	160
924	1949	158
925	1951	155
926	1952	153
927	1954	151
928	1956	149
929	1958	147
930	1960	145
931	1962	143
932	1964	141
933	1966	138
934	1968	136
935	1970	134
936	1972	132
937	1974	130
938	1976	128
939	1979	126
940	1980	124
941	1982	122
942	1984	119
943	1986	117
944	1988	115
945	1990	113
946	1992	111
947	1994	109
948	1996	107
949	1998	105
950	2000	103
951	2002	100
952	2004	98
953	2005	96
954	2007	94
955	2009	92
956	2011	90
957	2013	88
958	2015	86
959	2017	84
960	2019	81
961	2021	79
962	2023	77
963	2025	75
964	2027	73
965	2030	71
966	2031	69
967	2033	67
968	2035	65
969	2037	63
970	2039	60
971	2042	58
972	2044	56
973	2046	54
974	2048	52
975	2050	50
976	2052	48
977	2054	46
978	2056	44
979	2059	42
980	2061	39
981	2063	37
982	2065	35
983	2067	33
984	2069	31
985	2071	29
986	2073	27
987	2075	25
988	2077	23
989	2079	21
990	2082	18
991	2083	16
992	2086	14
993	2088	12
994	2090	10
995	2092	8
996	2095	6
997	2097	4
998	2099	2
999	2101	0
