Model,Accuracy,F1,ROC_AUC
Logistic Regression,0.8100558659217877,0.7424242424242424,0.8573122529644269
Random Forest,0.8212290502793296,0.7611940298507462,0.8387351778656126
XGBoost,0.8324022346368715,0.782608695652174,0.833794466403162
SVC,0.8324022346368715,0.7761194029850746,0.8430830039525692
K-Neighbours,0.8268156424581006,0.7669172932330827,0.8544795783926218
